language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=5.69 s (622.8 files/s 165825.3 lines/s)"
Python,./vllm/third_party/pynvml.py,865,407,4868
Python,./vllm/v1/worker/gpu_model_runner.py,673,1061,4332
CUDA,./csrc/rocm/attention.cu,388,289,3038
Python,./vllm/_custom_ops.py,426,413,2417
Python,./tests/tokenizers_/test_mistral.py,44,8,2357
Python,./tests/v1/core/test_scheduler.py,490,570,2340
Python,./vllm/benchmarks/datasets.py,392,568,2318
Python,./vllm/entrypoints/openai/responses/serving.py,164,153,2245
Python,./vllm/model_executor/models/molmo2.py,413,172,2223
Python,./vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors_moe.py,238,158,2118
Python,./vllm/distributed/kv_transfer/kv_connector/v1/nixl_connector.py,309,521,1935
Python,./tests/entrypoints/test_chat_utils.py,228,53,1872
CUDA,./csrc/rocm/skinny_gemms.cu,201,287,1865
Python,./vllm/model_executor/layers/fused_moe/fused_moe.py,214,246,1853
Python,./examples/offline_inference/vision_language.py,418,178,1803
C/C++ Header,./csrc/moe/marlin_moe_wna16/marlin_template.h,239,207,1784
Python,./vllm/engine/arg_utils.py,187,177,1764
Python,./vllm/model_executor/models/qwen3_omni_moe_thinker.py,266,143,1729
Python,./tests/v1/kv_connector/unit/test_nixl_connector.py,306,334,1678
C/C++ Header,./csrc/quantization/marlin/marlin_template.h,212,201,1660
Python,./tests/v1/core/test_kv_cache_utils.py,205,121,1627
Python,./vllm/model_executor/models/qwen3_vl.py,259,218,1618
Python,./vllm/model_executor/models/nano_nemotron_vl.py,294,255,1585
C/C++ Header,./csrc/attention/mla/cutlass_sm100_mla/kernel/sm100_fmha_mla_tma_warpspecialized.hpp,335,130,1558
C/C++ Header,./csrc/cpu/cpu_attn_impl.hpp,204,216,1557
CUDA,./csrc/quantization/gptq/q_gemm.cu,245,84,1532
Python,./vllm/entrypoints/openai/chat_completion/serving.py,180,221,1530
JSON,./examples/online_serving/prometheus_grafana/grafana.json,0,0,1527
Python,./vllm/model_executor/layers/fused_moe/layer.py,236,302,1524
Python,./tests/v1/core/test_prefix_caching.py,231,278,1496
Python,./vllm/benchmarks/serve.py,152,137,1478
Python,./tests/entrypoints/openai/test_serving_chat.py,244,110,1463
Python,./vllm/model_executor/layers/attention/mla_attention.py,287,382,1451
Python,./vllm/model_executor/models/glm4_1v.py,224,124,1450
Python,./vllm/config/model.py,252,359,1431
Python,./vllm/v1/core/sched/scheduler.py,239,467,1420
Python,./vllm/model_executor/models/keye.py,231,56,1408
JSON,./examples/online_serving/dashboards/grafana/performance_statistics.json,0,0,1405
CUDA,./csrc/quantization/gguf/vecdotq.cuh,397,30,1385
Python,./vllm/model_executor/models/minicpmv.py,276,89,1378
Python,./vllm/model_executor/models/ernie45_vl.py,237,80,1372
YAML,./.buildkite/test-amd.yaml,115,217,1360
Python,./vllm/v1/attention/backends/flashinfer.py,174,203,1356
Text,./requirements/test.txt,0,0,1343
Python,./vllm/model_executor/layers/quantization/modelopt.py,210,182,1336
YAML,./.buildkite/test-pipeline.yaml,120,144,1289
Python,./tests/kernels/moe/test_moe.py,192,84,1272
